호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월
5,2536,을지로4가(5),2251624,10576,338440,273339,324325,326117,331020,321075,337308
5,2537,동대문역사문화공원(5),1277182,5977,187782,151395,187434,192665,189586,173028,195292
5,2538,청구(5),1704999,8026,240283,205011,252505,256218,261424,237205,252353
5,2539,신금호,2829354,13341,394716,337982,419666,423849,437891,400605,414645
5,2540,행당,3471768,16367,497140,421528,513308,519878,526433,484157,509324
5,2541,왕십리(5),2386122,11252,350882,302426,353329,344844,356210,328820,349611
5,2542,마장,2642209,12575,379514,320846,398587,408306,406637,362178,366141
5,2543,답십리,7023884,33145,1010198,858141,1043490,1045565,1063520,978218,1024752
5,2544,장한평,7959869,37436,1155085,973029,1168814,1182197,1198101,1098713,1183930
5,2545,군자(5),5077555,23952,722586,616120,756466,761329,768299,710511,742244
5,2546,아차산,6421187,30444,875944,762093,952623,983715,1026831,909149,910832
5,2547,광나루,5904237,27963,834851,689217,886230,901199,916295,833551,842894
5,2548,천호(5),8837824,41697,1275117,1097372,1307487,1276550,1344503,1246088,1290707
5,2549,강동,8094914,37907,1145633,972550,1186391,1193841,1222583,1140184,1233732
5,2550,길동,3299116,15539,478571,405521,486449,484756,498788,458471,486560
5,2551,굽은다리,4127501,19424,585465,498346,604095,610131,635394,582374,611696
5,2552,명일,3583556,16874,510959,428569,535946,533049,548478,497231,529324
5,2553,고덕,4118691,19369,569833,485244,606138,619932,642342,582133,613069
5,2554,상일동,5071261,23939,718300,598865,749765,764980,789654,711383,738314
5,2555,둔촌동,3840052,18118,551883,462188,571094,565597,584036,544542,560712
5,2556,올림픽공원(5),2134664,10043,278015,222070,305401,327649,350947,333661,316921
5,2557,방이,3232153,15236,469941,393156,477559,479117,484037,453952,474391
5,2558,오금(5),1564847,7357,217471,180489,234530,237039,240125,222058,233135
5,2559,개롱,3019557,14204,424219,358267,444694,453533,462234,428007,448603
5,2560,거여,3194914,15029,443421,374981,474176,479204,495266,453191,474675
5,2561,마천,2327527,10983,321361,278253,344761,346856,360908,335772,339616
6,2611,응암,7714351,36451,1097804,943014,1140031,1164619,1172712,1079465,1116706
6,2612,역촌,1871115,8783,266171,228897,275060,274371,280793,264539,281284
6,2613,불광(6),2298229,10836,326501,292127,340450,335715,343821,322649,336966
6,2614,독바위,1293740,6105,186210,157638,191963,191392,195432,182472,188633
6,2616,구산,2976870,14004,419615,349083,442484,446454,456778,420450,442006
6,2617,새절,5774441,27357,778807,672337,867643,899584,910070,823131,822869
6,2618,증산,4425224,20909,614307,531826,657776,672501,681540,626592,640682
6,2619,디지털미디어시티(6),5928889,27894,857029,710742,864517,891803,905089,819652,880057
6,2620,월드컵경기장,2982085,13873,331802,292652,465549,409191,534128,477755,471008
6,2621,마포구청,5959305,28106,851625,726676,880753,891901,908160,827908,872282
6,2622,망원,6335308,29927,919384,785662,941823,928118,960638,881025,918658
6,2623,합정(6),6301090,29721,905213,781887,940163,909077,951058,892055,921637
6,2624,상수,4843871,22995,676332,587722,741966,715000,765861,675148,681842
6,2625,광흥창,3982746,18730,574821,480613,587771,602334,591517,553158,592532
